Año,Clave_Ent,Entidad,CVEMUN,Municipio,Bien _jurídico_afectado,Tipo_de_delito,Subtipo_de_delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,1,0,0,0,0,1,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0,0,0,1,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,1,0,1,0,1,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Otros robos,Con violencia,1,2,0,1,3,0,2,1,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Robo,Otros robos,Sin violencia,0,1,3,2,1,0,0,0,0,0,1,1
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0,0,0,0,1,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,1,0,0,0,0,1,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,1,2,3,1,2,1,2,0,2,0,2,1
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Despojo,Despojo,Despojo,2,0,1,0,0,0,0,0,0,0,2,2
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,2,3,2,1,1,3,0,3,3,5
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,1,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,1,0,0,2,2,1,0,0,1,0,2
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,0,0,0,0,0,0,0,0,1,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,0,2,0,2,1,1,1,0,3,1,2
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,0,0,0,0,0,0,0,0,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,4,1,1,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,0,0,0,0,0,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30069,Gutiérrez Zamora,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,0,2,1,1,1,2,2,0,0,2,0,2
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,1,0,0,0,0,0,0,0,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,1,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,0,0,0,0,0,1,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,0,0,0,0,0,1,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,1,0,0,1,0,0,0,1,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,1,0,0,1,1,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,0,0,0,0,1,1,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Aborto,Aborto,Aborto,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,1,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Secuestro,Secuestro,Secuestro exprés,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Rapto,Rapto,Rapto,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,0,0,1,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Acoso sexual,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Hostigamiento sexual,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Violación simple,Violación simple,Violación simple,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Violación equiparada,Violación equiparada,Violación equiparada,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Incesto,Incesto,Incesto,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,1,0,1,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a casa habitación,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a casa habitación,Sin violencia,0,0,0,0,0,0,0,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,0,0,0,0,0,2,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de embarcaciones pequeñas y grandes Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de autopartes,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de autopartes,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transportista,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transportista,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transeúnte en vía pública,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transeúnte en vía pública,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a transeúnte en espacio abierto al público,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte público individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte público individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte público colectivo,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte público colectivo,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte individual,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo en transporte individual,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a institución bancaria,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a institución bancaria,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a negocio,Con violencia,0,0,0,0,0,0,0,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo a negocio,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Robo,Otros robos,Sin violencia,0,0,1,0,0,0,1,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Fraude,Fraude,Fraude,0,0,0,2,1,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,0,0,0,0,0,0,0,0,1,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0,1,1,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,0,0,1,2,0,1,3,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Despojo,Despojo,Despojo,0,0,2,1,0,0,0,0,2,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,1,0,1,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,1,0,0,1,2,0,0,1,0,1
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,1,0,0,0,0,0,0,0,1,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,1,1,0,0,0,0,1,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30070,Hidalgotitlán,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0,0,0,0,0,0,0,0,0
